grant_id,Title,Donations Standard deviation,Variety of tokens,Variety of chain,Variety of days,Votes,Total raised
7764,Plurigrid,6.0177352966190725,2,2,2,3,17.23743298
4816,FilSwan - Decentralized Storag,3.64214573840131,3,2,3,4,17.2665324
7152,Funding Tech Tree Bounties to,1.4660043717656293,4,3,4,8,17.75737
7161,Pink Paper: Decentralized Publ,4.556149409314845,3,2,3,5,17.853
5211,Closer.earth - The Operating S,0.34011156116546337,4,3,8,15,17.8809819
7367,ClubS - SocialFi 2.0,4.7822665765323835,2,2,3,4,17.98591
6801,Support Ethereum Vancouver Loc,5.999999999999999,1,2,2,2,18.0
6779,TokenDao - a community governe,3.2851823397759436,3,2,3,5,18.030116075000002
5330,Connecting Charities to NFTs,5.028969704697847,3,2,3,4,18.062910000000002
6009,GoingUP - On-chain professiona,3.435512011653576,3,2,5,5,18.11276
3637,Moni Talks 🗞,6.875732615118068,1,2,3,3,18.15034735335
358,web3swift - Elegant Web3 funct,1.9642827334395854,4,2,4,6,18.21464
4172,Sov's Compendium,2.0368784744945425,2,3,4,6,18.21466066
6685,IdentityBlockchain,2.9348351337704512,3,1,5,8,18.250692300000004
7404,Proxify DAO - Gitcoin Funding,7.24387774324966,2,2,3,3,18.37773225
7504,Web3 FundME,0.7975396804049664,4,3,4,11,18.639132675
5890,Cohere: Community-owned Regene,1.172246196108992,3,3,7,12,18.65142315
7031,Earnmos All in One Yield Optim,4.065446649228939,1,2,4,7,18.864412350000002
6345,"Citizen DAO, a Web3 Fork of th",3.1522896226960837,3,2,3,6,19.030116075000002
6757,Allow more people to join 999c,3.1522896226960837,3,2,2,6,19.030116075000002
7642,REX,4.386015133392408,3,3,3,6,19.04995
4063,DEGEN: POAP Distribution Bot,1.6364204973748846,4,3,4,8,19.1773506
6835,SuperCAPE-DOC:  Transforms sma,1.8276954597466655,4,3,6,8,19.25203865
5792,Essential Eth - The Tiniest JS,5.140706745083793,2,1,3,3,19.475144999999998
2166,Safient - Non-custodial secret,1.1483103252333404,3,1,5,9,19.47954
6320,TalentLayer: The Interoperabil,4.738700229448895,3,2,4,4,19.72604937
6760,Coorest CO2 tokens,3.231199147901596,4,2,4,4,19.846960000000003
6511,PretzelDAO – web3 builders com,5.3857463170328295,2,2,4,4,19.96377367
5257,Wealthverse - Season One,2.357022603955158,1,1,2,3,20.0
4056,Abundance Protocol: Scaling Pu,0.0,1,1,1,1,20.0
248,web3-react,0.0,1,1,1,1,20.0289
5515,"plebbit: a serverless, adminle",3.0157550615107827,3,2,4,7,20.030278175
7912,EchoVerse,3.835966814568232,4,3,3,8,20.042718100000002
7900,Health X Change - A platform t,2.679564489900786,2,2,5,10,20.10413145
5541,ORGO App Development Fund,3.271297737731753,3,3,4,6,20.5
7920,The Greenland Ark – Blockchain,4.421928787111782,3,3,4,6,20.6331819
1988,Louper - Tool for inspecting D,3.1917863337009256,3,2,3,4,21.0
